Name,Symbol,employees_count,price (USD),Country name
Jacobs Engineering,J,57100,137.71,United States
FX4Nmf1k4T,600011.SS,57069,1.23748,China
Baker Hughes,BKR,57000,32.93,United States
MGM Resorts,MGM,,41.55,United States
Indra Sistemas,IDR.MC,56744,22.1328,Spain
Assa Abloy,ASAZF,KkVfn7ZVWG,26.25,Sweden
Hong Kong and China Gas,0003.HK,56222,0.829088,Hong Kong
China Resources Gas Group,1193.HK,56114,3.52394,Hong Kong
Westrock,WRK,56100,52.88,United States
Cathay Financial Holding,2882.TW,56031,1.75789,
Banco Santander Brasil,,55885,5.45,Brazil
Sopra Steria Group,SOP.PA,55833,240.243,France
,BMO,55767,95.25,Canada
,1109.HK,55311,4.08777,Hong Kong
Progressive,PGR,55100,209.25,0H53c0aMJM
CK Asset Holdings,IRo8bHIMLh,55000,4.52987,Hong Kong
TUI,TUI1.F,54947,7.47255,
Elis,ELIS.PA,KkVfn7ZVWG,24.0896,France
EPAM Systems,EPAM,54600,190.48,United States
Q9ZJcg4x66,COF,54200,144.35,GcTV7RSfso
ALTEN,ATE.PA,54100,136.537,France
Allstate,ALL,54000,166.27,United States
Rio Tinto,RIO,54000,,United Kingdom
Toppan,7911.T,53946,24.9971,Japan
Acciona,ANA.MC,53847,,Spain
Bank of New York Mellon,BK,53600,58.8,United States
Western Digital,WDC,,75.69,United States
International Consolidated Airlines,BABWF,52835,2.3,Spain
Atlas Copco,ATCO-B.ST,52778,,Sweden
Japan Tobacco,2914.T,52640,28.4114,AvzDjQGBRY
Yamaha Motor,7272.T,52554,9.44571,Japan
Turkish Airlines,THYAO.IS,52414,9.497,Turkey
Anhui Conch Cement,AHCHF,KkVfn7ZVWG,2.5,China
SG Holdings,9143.T,52268,10.1589,Japan
QeRV9x0e7Z,BANKINDIA.NS,52209,1.45834,India
Best Buy,BBY,52200,73.34,iyOP1GfXAg
British American Tobacco,BTI,52077,31.32,United Kingdom
Cushman &amp; Wakefield,EpQD0rqyKL,52000,11.38,United States
Carrier,CARR,52000,65.8,United States
AECOM,ACM,,91.09,United States
Ambev,ABEV,52000,2.39,Brazil
Truist Financial,TFC,51943,40.18,United States
Adidas,ADS.DE,51777,249.918,Germany
Leonardo,LDO.MI,318916.9316,25.1114,bmifXR7bqV
HeidelbergCement,HEI.DE,51492,110.012,Germany
STMicroelectronics,STM,51370,42.85,Switzerland
Migros Ticaret A.S.,MGROS.IS,51275,15.0182,Turkey
Mizuho Financial Group,MFG,KkVfn7ZVWG,4.14,Japan
Voestalpine,VAS.F,51212,,WZtZyl3DoL
Hanesbrands,HBI,51000,-707713.8353,United States
Stryker Corporation,SYK,51000,331.99,United States
Community Health Systems,CYH,,3.77,United States
FirstRand,FSR.JO,50493,3.76386,South Africa
New Oriental,EDU,50438,-271018.0652,China
Kubota,6326.T,50352,15.4417,Japan
Telecom Italia,TIT.MI,50305,0.264594,Italy
Hyatt Hotels,H,50000,149.21,United States
AbbVie,ABBV,50000,163.79,United States
Aon,,50000,287.79,
ZRwRtig28e,PPG,KkVfn7ZVWG,135.04,
QUALCOMM,QCOM,50000,194.61,United States
Quest Diagnostics,DGX,,140.78,bQZ3U8UuRo
Stanley Black &amp; Decker,SWK,50000,91.39,United States
Tractor Supply,nT339SCsU2,50000,275.96,United States
SPIE,SPIE.PA,50000,39.026,France
Serco Group,LWp4D8U69D,50000,2.29065,United Kingdom
GE HealthCare Technologies,GEHC,50000,,United States
ZbajzTQnGu,pWyKIn0RYD,-759818.1134,10.4463,South Africa
Larsen &amp; Toubro,LT.NS,49921,41.4686,India
Daiwa House,1925.T,49768,26.6558,bmifXR7bqV
KDDI,9433.T,49659,27.8821,Japan
Waste Management,WM,49500,209,United States
Commonwealth Bank,CBA.AX,49454,81.5371,Australia
Takeda Pharmaceutical,KWpxtsyGwG,49095,13.39,Japan
BHP Group,BHP,301471.9864,59.27,Australia
Caesars Entertainment,4MvkNTa9xf,-937282.7735,36.27,United States
arKxVDq5nO,0175.HK,49000,-388946.5161,GC46xGbiKx
Kering,KER.PA,48964,367.214,France
Sompo Holdings,8630.T,48956,20.0015,Japan
Asahi Kasei,3407.T,,6.6575,Japan
Zijin Mining,601899.SS,KkVfn7ZVWG,2.53177,China
SATS,S58.SI,48800,1.92542,Singapore
Toray Industries,3402.T,48682,5.05234,Japan
Kuala Lumpur Kepong,2445.KL,48487,4.81299,Malaysia
Mazda,7261.T,48481,10.1621,Japan
China Everbright Bank,601818.SS,48415,0.440669,zHFBbL4Xs2
,R,48300,128.24,United States
Worley,WOR.AX,48223,-826068.2056,Australia
CIBC,CM,48074,49.22,Canada
Henkel,HEN3.DE,48050,91.51,Germany
Halliburton,HAL,,37.36,utyEEeJgE5
The Cheesecake Factory,CAKE,47500,41.01,United States
Pepco Group,PCO.WA,47487,5.38067,fjVmwTgAmr
Samvardhana Motherson,MOTHERSON.NS,47456,1.52485,India
Mengniu Dairy,2319.HK,47329,2.15537,China
Quanta Services,PWR,47300,270.79,United States
Delivery Hero,DHER.F,47208,33.7102,Germany
Cardinal Health,CAH,47040,97.11,United States
Fairfax Financial,fy4GNII6wp,KkVfn7ZVWG,1139.38,Canada
Leidos,gnV3G3o8lF,47000,948056.7578,United States
Smurfit Kappa Group,SK3.IR,47000,48.2552,Ireland
Ecolab,ECL,47000,232.95,United States
SIMPAR,KYIWaPviZ3,47000,1.22826,hbadEtugkY
TaskUs,TASK,47000,14.75,United States
Mitsui Bussan,8031.T,46811,50.8268,Japan
Arthur J. Gallagher & Co.,,46758,251.78,
Pa56O2Cei3,JKS,46511,25.73,vIpYHuYlgh
Sharp Corporation,6753.T,46200,5.24081,
Mobico Group,MCG.L,46200,0.824506,United Kingdom
Via S.A.,VIIA3.SA,46073,0.15,Brazil
Illinois Tool Works,ITW,KkVfn7ZVWG,249.09,
Willis Towers Watson,WTW,46000,255.63,United Kingdom
L3Harris Technologies,LHX,46000,222.09,United States
Goldman Sachs,GS,45900,160845.8223,United States
Erste Group Bank,EBO.F,45886,50.1141,Austria
Cemex,CX,45716,7.91,Mexico
EXL Service,EXLS,45400,30.59,bmifXR7bqV
Petrobras,PBR,45149,15.56,Brazil
Electrolux,ELUX-A.ST,45000,11.2221,Sweden
Boston Scientific,pyJrKatqHG,-534323.3388,74.45,United States
LKQ Corporation,LKQ,45000,44.18,
MetLife,mTZUlQBovC,45000,73.13,United States
McKesson,MCK,45000,551.56,United States
Constellation Software,CSU.TO,45000,2681.2,Canada
West Japan Railway,9021.T,44897,19.9693,Japan
23XWsEOkY9,CABK.MC,KkVfn7ZVWG,5.28318,Spain
Raiffeisen Bank International,RAW.F,44810,-827434.9535,Austria
OMhXbCCeLy,0669.HK,44705,13.596,Hong Kong
FwXBZwJzm3,SCYR.MC,44629,4.08523,Spain
ENEOS Holdings,5020.T,44617,4.81096,Japan
BCE,euWOHZa7js,44610,34.57,Canada
Cintas,CTAS,44500,692.4,United States
Isuzu,7202.T,44495,13.0246,Japan
Ping An Bank,000001.SZ,44207,1.54788,China
Kintetsu GHD,,44079,22.6736,Japan
Estee Lauder,EL,44020,136,United States
Huntington Ingalls Industries,HII,44000,251.63,United States
Kimberly-Clark,KMB,462492.5267,134.11,United States
Kerry Logistics Network,0636.HK,43903,1.14304,Hong Kong
Chevron,CVX,43846,163.05,United States
WuXi AppTec,2359.HK,KkVfn7ZVWG,5.27951,China
Intertek,ITRK.L,43597,62.6447,United Kingdom
Volvo Car,VOLCAR-B.ST,43400,3.3554,bmifXR7bqV
dDc71AAUu7,8766.T,43217,31.9095,Japan
IN5nyIzR9d,RAND.AS,43210,54.8755,Netherlands
,MLYBY,43000,,Malaysia
Micron Technology,MU,43000,127.81,United States
,000625.SZ,42894,-422329.1794,China
Ceconomy,CEC.DE,42863,2.82639,
Munich RE (Münchener Rück),MUV2.DE,42562,494.184,Germany
Fubon Financial,2881.TW,42560,2.30333,Taiwan
Iberdrola,IBE.MC,42042,-91993.75045,Spain
Prosegur Cash,CASH.MC,42033,0.565279,
SSP Group,,42000,2.59909,United Kingdom
Dana,DAN,42000,14,142
State Street Corporation,STT,KkVfn7ZVWG,77.57,sUeVObYQ11
Gildan,GIL,42000,35.13,Canada
JC4MzAs67i,COR,42000,221.81,United States
KION Group,KGX.DE,41827,50.3533,Germany
Rolls-Royce Holdings,RR.L,41800,5.33303,United Kingdom
Indian Bank,INDIANB.NS,41699,6.46966,India
Arçelik,,41342,5.83642,Turkey
Baidu,,41300,110.75,China
Want Want China,0151.HK,41229,0.599711,Hong Kong
OTP Bank,OTP.BD,41210,51.4174,Hungary
ICON plc,ICLR,41150,321.8,123
YJ1q03wsUq,HOT.F,41058,111.643,Germany
Amcor,AMCR,KkVfn7ZVWG,10.34,bmifXR7bqV
Fiserv,y1YDjAIUXJ,41000,155.01,United States
Sonic Healthcare,SHL.AX,41000,18.0334,Australia
Mohawk Industries,MHK,40900,123.28,United States
Sandvik,SAND.ST,40877,21.4903,Sweden
Hua Xia Bank,600015.SS,40556,0.947854,China
MercadoLibre,MELI,40548,1718.5,Argentina
ANA Holdings,9202.T,,19.3755,Japan
Savills,SVS.L,40433,14.8069,United Kingdom
SKF (Svenska Kullagerfabriken),SKF-B.ST,40396,21.8456,Sweden
Archer Daniels Midland (ADM),ADM,40360,60.08,United States
ANZ Bank,ANZ.AX,40342,18.847,Australia
CNH Industrial,CNHI,KkVfn7ZVWG,11.84,United Kingdom
Berry Global,BERY,40000,59.83,United States
Sun Hung Kai Properties,0016.HK,40000,,Hong Kong
Reckitt Benckiser,RKT.L,40000,58.7089,United Kingdom
HQvXC5xwwd,MGLU3.SA,40000,0.313889,
Advance Auto Parts,AAP,40000,75.86,United States
Republic Services,RSG,40000,186.97,United States
Chubb,CB,40000,252.97,Switzerland
Manulife Financial,MFC,bmifXR7bqV,26.15,Canada
BorgWarner,BWA,39900,37.5,United States
ASML,sJHV2s389O,39850,937.42,Netherlands
Impala Platinum,IMP.JO,39837,5.8519,South Africa
Maximus,MMS,KkVfn7ZVWG,87.02,United States
Prudential Financial,PRU,39583,119.6,United States
Fluor Corporation,FLR,39576,38.41,United States
B&M European Value Retail,BME.L,39484,6.85928,Luxembourg
S&P Global,SPGI,39361,435.7,United States
BDO Unibank,BDOUY,39323,23.98,Philippines
Gestamp Automoción,,bmifXR7bqV,3.30471,Spain
Vivendi,VIV.PA,39200,10.9142,
WEG ON,WEGE3.SA,39137,7.7244,Brazil
ALSOK,2331.T,39039,5.85137,Japan
Trane Technologies,TT,39000,332.29,Ireland
Eli Lilly,LLY,39000,732877.8357,United States
62IygIpJIg,IP,39000,39.71,bmifXR7bqV
Whitbread,WTB.L,39000,39.515,United Kingdom
,BMRI.JK,38965,0.398869,Indonesia
Norwegian Cruise Line,NCLH,KkVfn7ZVWG,-48609.06819,United States
BOSCH India,BOSCHLTD.NS,38700,371.973,India
eVYMRHn5Kf,8725.T,38584,bmifXR7bqV,Japan
National Australia Bank,NAB.AX,,23.0486,Australia
Almarai,2280.SR,38370,14.5705,Saudi Arabia
PGE Polska,PGE.WA,38356,1.86272,Poland
,BACHOCOB.MX,38344,5.11,ysTOedMVY0
Commerzbank,CBK.F,38307,16.4094,Germany
,PZU.WA,38279,bmifXR7bqV,Poland
,SUNPHARMA.NS,38000,18.4096,India
Viatris,1zDQrTBDeL,38000,11.07,United States
Estithmar Holding,IGRD.QA,38000,0.553571,
XPO Logistics,,KkVfn7ZVWG,114.06,United States
Dow,DOW,37800,59.06,United States
Select Medical Holdings,SEM,37800,34.92,United States
Legrand,LR.PA,37768,113.001,France
HELLA,HLE.F,37743,90.1185,Germany
JRdM5dzB8b,MRO.L,37694,7.81098,United Kingdom
,ADEN.SW,37664,40.2806,Switzerland
Türk Telekom,TTKOM.IS,37638,1.28159,bmifXR7bqV
Subaru,7270.T,37521,20.9955,Japan
Warner Bros. Discovery,WBD,bmifXR7bqV,8.2,United States
Dole PLC,DOLE,37422,586862.3461,DahONSWfcn
Dino Polska,DNP.WA,37386,102.847,Poland
Bpost,,KkVfn7ZVWG,3.6417,Wr0ZhYLLbd
Credicorp,BAP,37161,,Bermuda
J. B. Hunt,JBHT,37151,,United States
Kraft Heinz,KHC,37000,35.85,United States
MasTec,MTZ,150013.8879,106.99,SQP5yDDsr9
Life Time Group,SuIkVxBWnP,37000,14.98,United States
Porsche,P911.DE,36688,91.0316,Germany
Vitesco Technologies Group,VTSC.DE,36673,-17812.51899,Germany
Hoya,7741.T,36571,124.501,Japan
Sonae,SON.LS,36395,1.01859,Portugal
United Tractors,UNTR.JK,36261,1.39133,Indonesia
Dai Nippon Printing,7912.T,36246,30.5412,Japan
Japan Airlines,9201.T,36039,17.4102,Japan
Essity,ESSITY-B.ST,36000,25.764,
DBS Group,D05.SI,36000,26.4281,Singapore
Regal Rexnord,RRX,KkVfn7ZVWG,167.06,United States
Yum! Brands,YUM,36000,138.34,United States
Televisa,TV,35923,3.32,Mexico
Charles Schwab,SCHW,,78.68,United States
Ramsay Générale de Santé,GDS.PA,35875,13.9146,France
Hindalco Industries,HINDALCO.NS,35869,7.82915,India
Avery Dennison,AVY,35760,226.11,United States
Healthcare Services Group,HCSG,35700,-928448.7541,
PostNL,PNL.AS,bmifXR7bqV,1.3958,Netherlands
John Wood Group,WG.L,35636,2.40201,United Kingdom
ENN Energy,2688.HK,35598,10.0208,
Nippon Yūsen,9101.T,35502,31.1221,UidTdXRIGo
Las Vegas Sands,LVS,35500,46.11,United States
1etIS3KPXE,EME,35500,385.6,United States
Bajaj Finance,BAJFINANCE.NS,35425,80.8516,India
Kaō,4452.T,KkVfn7ZVWG,45.0374,Japan
Air Canada,AC.TO,bmifXR7bqV,13.7997,Canada
The Ensign Group,,35300,119.28,United States
2AGof9XrEC,KBCSF,35235,76.3472,
Indofood CBP,ICBP.JK,35138,0.664259,Indonesia
Iveco Group,IVG.MI,35000,12.6916,Italy
RELX,RELX,35000,43.91,United Kingdom
Performance Food Group,PFGC,35000,72.02,
AkzoNobel,AKZA.AS,35000,70.2902,Netherlands
Ferguson,FERG,35000,220.73,United Kingdom
uWKCMKSW67,0148.HK,-146495.0808,2.5885,Hong Kong
Laureate Education,LAUR,35000,16.29,United States
12415 Health Services,BTSG,35000,11.63,United States
Harmony Gold,HMY,34913,9.39,South Africa
LATAM Airlines,LTM.SN,34888,0.0146734,Chile
ORIX,IX,KkVfn7ZVWG,107.82,Japan
Ajinomoto,Xwgq8U9d2e,34615,39.5513,Japan
Hainan Airlines,900945.SS,34576,0.184,ebZbreOKgb
Bancolombia,CIB,34508,35.66,Colombia
NXP Semiconductors,,-818625.1419,272,Netherlands
Applied Materials,5ubhQvKYdE,,217.49,United States
Bristol-Myers Squibb,BMY,34300,-413164.8444,United States
123124,000270.KS,34178,85.211,South Korea
TOTO,5332.T,34152,-58826.75928,Japan
World Holdings,2429.T,34010,14.5413,Japan
Teva Pharmaceutical Industries,,34004,16.78,Israel
2342,9o0wIbBRwA,34000,69.83,4a6KRzk7Qx
,TXT,34000,88.18,United States
Sanmina,SANM,34000,65.95,United States
lululemon athletica,LULU,,346.85,Canada
KBR,KBR,KkVfn7ZVWG,65.93,United States
BJ's Wholesale Club,BJ,34000,,United States
WVrshRmEDC,CFR.SW,33959,,Switzerland
Mattel,MAT,33900,18.8,c8Mjxv9ot7
AtkinsRéalis,ATRL.TO,bmifXR7bqV,,Canada
Colgate-Palmolive,CL,33800,94.53,United States
Nippon Paint,4612.T,33763,7.63208,Japan
LG Electronics,066570.KS,33716,73.3989,South Korea
Aveanna Healthcare,mQeuhIOKz2,33700,2.72,United States
Westpac Banking,WBC.AX,33664,17.8267,Australia
KGHM Polska Miedź,KGH.WA,bmifXR7bqV,bmifXR7bqV,Poland
Swatch,UHR.SW,33602,215.402,Switzerland
IndusInd Bank,INDUSINDBK.NS,33582,16.8812,India
Evonik Industries,EVK.DE,bmifXR7bqV,21.7415,Germany
Sumitomo Chemical,4005.T,33572,2.03694,Japan
Otsuka Holdings,4578.T,33482,42.5202,2341
Shiseido,4911.T,33414,31.3803,Japan
Seagate Technology,STX,33400,98.72,bmifXR7bqV
Bangkok Dusit Medical Services (BDMS),BDMS.BK,KkVfn7ZVWG,0.802435,Thailand
Booz Allen Hamilton,BAH,33100,692906.5115,United States
Xiaomi,XIACF,,2.55,China
Knorr-Bremse,,33025,81.748,Germany
Coca-Cola HBC,CCH.L,33000,35.2329,
CIMB Group,,794085.1363,1.45116,Malaysia
Coca-Cola European Partners,CCEP,33000,75.13,United Kingdom
Beijing Enterprises Holdings,0392.HK,33000,3.62005,Hong Kong
Texas Instruments,TXN,-278201.0868,195.53,United States
Sika,SIKA.SW,33000,313.946,Switzerland
Zhongsheng Group,0881.HK,32943,1.96059,China
Olympus,7733.T,32844,16.0419,Japan
Asseco,ACP.WA,32750,22.3027,Poland
Banorte,GFNORTEO.MX,32705,733690.3172,Mexico
la20HDCvrk,WKuNpUVSby,32564,4.61455,China
1889,HDFCLIFE.NS,32448,6.79501,India
AIER Eye Hospital,300015.SZ,32326,bmifXR7bqV,China
Next plc,NXT.L,32324,117.949,
MTR Corporation,0066.HK,32308,3.72256,Hong Kong
NOV,NOV,32307,,United States
Trip.com,TCOM,-984925.5532,,China
ENI,E,32188,32.51,Italy
Rakuten,4755.T,32079,5.09881,bmifXR7bqV
CSL,CSL.AX,32065,191.371,Australia
Norsk Hydro,NHY.OL,asdA,6.3066,Norway
Uber,UBER,32000,66.62,United States
Pandora,PNDORA.CO,32000,-779772.8912,Denmark
,COLR.BR,32000,46.8312,Belgium
Frasers Group,FRAS.L,,10.4471,United Kingdom
Topgolf Callaway Brands,MODG,32000,15.56,United States
Signify,LIGHT.AS,,28.003,Netherlands
,UNP,31800,246.54,HYuYdxpN5V
,TLS.AX,-388975.0371,2.46092,456
Tsingtao,600600.SS,31707,11.9133,China
,9503.T,,15.5417,Japan
OCBC Bank,O39.SI,31604,10.6307,Singapore
Longfor Group,0960.HK,asd,1.76838,China
Arcadis,ARCAD.AS,31552,65.7137,Netherlands
Jastrzebska Spólka Weglowa,JSW.WA,31521,7.84289,Poland
COSCO Shipping,601919.SS,31510,1.95391,China
,GOKEX.NS,31483,-165335.4445,India
xqOgWQOPfJ,7SkmVLVWTZ,861718.1187,236.201,China
Nucor,NUE,31400,176.21,
Amkor Technology,AMKR,31300,33.78,United States
Groupe Lagardère,MMB.PA,31300,23.4808,France
Mapfre,MAP.MC,bmifXR7bqV,2.53071,Spain
,IOC.NS,31254,1.95144,bmifXR7bqV
Tenaga Nasional,TNABY,31130,9.96,Malaysia
NetEase,NTES,31119,98.76,China
Paccar,PCAR,31100,108.08,United States
Pirelli,PIRC.MI,31071,6.62246,Italy
,GMBXF,31013,6.26,Mexico
BOI22oMuEK,CARL-B.CO,31000,,Denmark
Dwtx53JF3i,SFM,31000,76.84,bmifXR7bqV
ON Semiconductor,ON,31000,74.74,United States
Great-West Lifeco,GWO.TO,31000,940750.7591,Canada
Groupe SEB,SK.PA,31000,125.448,France
Linamar,LNR.TO,31000,52.6825,Canada
Topsports International,6110.HK,30978,0.736824,Hong Kong
Kunlun Energy Company,0135.HK,30916,1.06231,Hong Kong
Aditya Birla Capital,ABCAPITAL.NS,30905,2.65605,India
ManpowerGroup,MAN,30900,77.76,United States
Prysmian Group,PRY.MI,30830,62.0067,Italy
Central Bank of India,CENTRALBK.NS,30770,0.728571,India
Webuild S.p.A.,WBD.MI,30595,2.59159,Italy
Kirin Holdings,2503.T,30538,14.5413,Japan
14241,,30418,0.160179,Hong Kong
,,,,
,,,,
,,,,
,,,,
,ABCAPITAL.NS,30905,2.65605,India
ManpowerGroup,MAN,30900,77.76,United States
Prysmian Group,,30830,62.0067,
,,,,
,,,,
,,,,
,,,,
,,KkVfn7ZVWG,,
,,,,
Astra Agro Lestari,AALI.JK,30024,0.380025,Indonesia
Olam,VC2.SI,30000,0.869785,Singapore
kejTocMeUx,LUMN,30000,1.3,United States
EqcZFrnWD7,VSCO,30000,,United States
Yellow Corporation,YELLQ,30000,7.505,United States
LPP SA,LPP.WA,30000,4506.41,Poland
Gerdau,GGB,30000,3.86,Brazil
Big Lots,,,,
Endeavour Group,,30000,,
,KMX,30000,74.35,United States
Kellogg's,K,30000,61.83,United States
The Travelers Companies,TRV,30000,214.35,bmifXR7bqV
CommScope,COMM,,,United States
Amdocs,DOX,30000,82.05,United States
Vestas Wind Systems,VWS.CO,29986,,Denmark
(DIA) Distribuidora Internacional de Alimentación,DIA.MC,29959,0.0148929,Spain
Asahi Group,2502.T,29920,,Japan
Mastercard,MA,-886885.7169,458,United States
PayPal,PYPL,29900,63.9,United States
Compagnie Plastic Omnium,POM.PA,29891,,France
Yakult,2267.T,29880,19.5949,4z24tNoaVb
IBEX,IBEX,29863,15.01,United States
,,bmifXR7bqV,0.617521,South Africa
Central Japan Railway,9022.T,29854,22.196,Japan
,AZ2.F,,58.0498,0SxhdppBeM
DKSH Holding,DKSH.SW,29699,,Switzerland
Signet Jewelers,SIG,29660,,Bermuda
,BPYPP,29600,14.46,Bermuda
,SMDS.L,29519,4.64963,United Kingdom
,,,,
,,,,
,,,,
,UNFI,29455,10.56,United States
National Grid,NGG,29450,72.8,United Kingdom
Saipem,SPM.MI,29437,2.36765,Italy
Jubilant FoodWorks,JUBLFOOD.NS,29346,5.64763,India
DSM-Firmenich,,29306,116.589,Switzerland
Nordea Bank,NDA-FI.HE,29266,12.2785,456
Adobe,ADBE,29239,485.35,United States
,3037.TW,836654.1407,5.70378,Taiwan
Sun Life Financial,SLF,29169,50.83,Canada
,,29168,24.18,Cayman Islands
4NmAHO6hg2,,29100,115.1,United States
Bilfinger,GBF.F,29077,50.9838,Germany
,,29052,23.0737,Japan
US Foods,,29000,,United States
,WSV2.F,29000,34.0254,Austria
Petco,WOOF,29000,2.61,
fnDfYJON2h,ROK,29000,-651056.4072,United States
FirstService,FSV,29000,149.28,Canada
NNDZAAaM26,BLDR,,171.94,United States
National Bank of Canada,NA.TO,28916,85.0873,Canada
,,,,
,,,,
,,,,
Chow Tai Fook,1929.HK,,1.36857,Hong Kong
Visa,4GUW8ML0W1,28800,281.5,United States
AU Small Finance Bank,AUBANK.NS,28677,7.44928,India
UOB,U11.SI,28661,22.3914,Singapore
Sasol,,asd,7.34,South Africa
Gudang Garam,GGRM.JK,28600,770589.8196,Indonesia
Nexans,NEX.PA,,120.339,
Intact Financial,IFC.TO,28500,165.876,bmifXR7bqV
Greggs,y6N26DCmvN,28493,35.1317,United Kingdom
IHI Corporation,7013.T,-158028.1227,25.7458,Japan
Mitsubishi Motors,7211.T,28428,2.8179,Japan
Power Financial,YrpLAphwcw,,13.8364,Canada
Z Holdings,4689.T,,,
,BUR.PA,28322,462.007,France
,9048.T,28216,bmifXR7bqV,4562
Aéroports de Paris,ADP.PA,28174,138.385,France
Knight-Swift,KNX,28100,49.93,United States
Omron,,,,Japan
24KlPY94I8,BID.JO,28022,24.2101,South Africa
New World Development Company,0017.HK,28000,1.21095,
Penske Automotive,PAG,,160.03,United States
Newell Brands,NWL,,,United States
Keurig Dr Pepper,KDP,28000,33.81,United States
,STN,,,Canada
,,,,
,,,,
,,,,
Duke Energy,,,,United States
IDFC FIRST Bank,IDFCFIRSTB.NS,KkVfn7ZVWG,0.923296,India
SS&C Technologies,SSNC,27600,63.57,United States
Naspers,NPSNY,27573,43.99,South Africa
Yes Bank,YESBANK.NS,27517,0.271417,India
Globant,GLOB,,178.27,Luxembourg
EVE Energy,300014.SZ,-474656.983,5.21043,China
Southern Company,SO,27423,79.29,United States
Bank Negara Indonesia,,27386,0.326633,Indonesia
Skanska,,27377,18.3621,Sweden
Remgro Limited,REM.JO,27298,6.87726,bmifXR7bqV
Bank Central Asia,BBCA.JK,-946740.5645,0.603015,Indonesia
R1 RCM,,27200,12.5,United States
Oil &amp; Natural Gas,ONGC.NS,27165,-249380.5555,India
Österreichische Post,POST.VI,,34.7864,Austria
Bank of Ningbo,002142.SZ,27066,3.58217,China
,6028.T,27003,17.4844,Japan
Cleveland-Cliffs,CLF,27000,17.88,United States
Halkbank,,27000,,Turkey
Global Payments,,bmifXR7bqV,108.82,United States
Wabtec,WAB,27000,168.99,United States
Wynn Resorts,WYNN,27000,,United States
Tetra Tech,,,,
Vertiv Holdings,VRT,27000,104.6,United States
NV Bekaert,BEKB.BR,,48.1792,Belgium
Mphasis,MPHASIS.NS,,,
Sekisui Chemical,4204.T,,14.2541,Japan
,NMR,26775,bmifXR7bqV,Japan
NIO,NIO,26763,5.33,
Ashtead,AHT.L,,78.1351,United Kingdom
Muthoot Finance,MUTHOOTFIN.NS,26716,365934.6178,India
HealthSouth,EHC,26713,87.09,United States
Rexel,RXL.PA,bmifXR7bqV,30.3185,
,,,,
,,,,
,,,,
HealthSouth,EHC,26713,87.09,United States
Rexel,RXL.PA,26693,30.3185,
,,,,
Lojas Renner,LREN3.SA,,2.90494,
American International Group,AIG,26200,78.9,United States
NVIDIA,oXqgR15lP2,26196,946.3,United States
InterGlobe Aviation,INDIGO.NS,26164,51.4122,
QkZOYdjQWL,BAB.L,26115,,United Kingdom
,,KkVfn7ZVWG,,256
,,,,
,,,,
,,,,234
,,,,
,,,,
Sunny Optical,2382.HK,26610,5.5422,China
EnBW Energie,,,72.6166,Germany
Sany Heavy Industry,600031.SS,,bmifXR7bqV,China
Sino Biopharmaceutical,1177.HK,bmifXR7bqV,0.399807,China
12415,6988.T,26070,79.5802,
Zoomlion,1157.HK,26036,0.784237,
Pacific Gas and Electric,PCG,26010,bmifXR7bqV,United States
,,,84.22,United States
